服務地點,倉庫別,客戶名稱,維護時間,行車距離,郵遞區號3碼,郵遞區號,樓層,出租單號,週清1,週清2,緯度,經度,排程總序號,count,zone_id
基隆市七堵區俊賢路28號旁,5D-五股倉,74819 建銘營造-基隆七堵,8.0,67.9,206,基隆市七堵區,1,RT20250000012846,1.0,,25.095155,121.7048,1085,1,6
基隆市七堵區六堵工業區工東街10號,5D-五股倉,78112 龍誠營造有限公司,8.0,69.4,206,基隆市七堵區,1,RT20250000012898,1.0,,25.0872,121.704769,1085,1,6
基隆市七堵區崇禮街1號,5D-五股倉,72774 旺邦-七堵,24.0,66.23333333,206,基隆市七堵區,1,RT2025000349,1.0,,25.099777,121.718667,1085,3,6
基隆市七堵區泰安路137號斜對面工地,5D-五股倉,77726 紘洋工程行-七堵區,8.0,71.8,206,基隆市七堵區,1,RT20250000011265,1.0,,25.078253,121.712581,1085,1,6
基隆市中山區中山一路263號旁,5D-五股倉,74551 鴻信營造-基隆,8.0,77.05,203,基隆市中山區,1,RT20240000011958,1.0,,25.135614,121.740375,1040,1,6
"基隆市中山區中山四路28號 25°09'02.2""N 121°44'43.0""E",5D-五股倉,76735 壹山營造-西28A碼頭,8.0,103.28,203,基隆市中山區,1,RT202500006760,1.0,,25.154494,121.751925,1040,1,6
"基隆市中山區光華路29號 嘉新水泥廠附近  25°09'21.8""N 121°44'54.3""E",5D-五股倉,76736 壹山營造-西33號碼頭,16.0,103.16,203,基隆市中山區,1,RT202500006761,1.0,,25.155617,121.748761,1040,2,6
"基隆市中山區太白里光華塔附近 25°09'16.8""N 121°45'06.8""E",5D-五股倉,76737 壹山營造工程股份有限公司,8.0,105.14,203,基隆市中山區,1,RT202500006762,1.0,,25.150361,121.745477,1040,1,6
基隆市中山區復興路219號旁,5D-五股倉,76910 新橫濱社區,8.0,98.18,203,基隆市中山區,1,RT202500007375,1.0,,25.148091,121.723859,1040,1,6
基隆市中山區文化路164號-德和國小,5D-五股倉,75739 長聖營造-德和國小,16.0,99.9,203,基隆市中山區,1,RT202500002018,1.0,,25.155178,121.730328,1040,2,6
基隆市中正區中正路5-1號-長榮桂冠酒店斜對面壹山營造工區,5D-五股倉,76191 壹山營造-第五碼頭,16.0,80.64,202,基隆市中正區,1,RT202500003891,1.0,,25.136916,121.74705,1050,2,6
基隆市中正區義二路211號,5D-五股倉,75885 原榮實業-橙品211,8.0,80.04,202,基隆市中正區,1,RT202500002638,1.0,,25.135341,121.748219,1050,1,6
基隆市中正區義二路99號旁的工地,5D-五股倉,76312 王鼎-義二路,8.0,79.69,202,基隆市中正區,1,RT202500004396,1.0,,25.132664,121.746439,1050,1,6
基隆市仁愛區仁二路236號(東岸商場&文化廣場間),5D-五股倉,68344 義力營造-仁愛區,24.0,81.56,200,基隆市仁愛區,1,RT20250000013351,1.0,,25.130939,121.743894,1070,3,6
基隆市仁愛區精一路32號旁,5D-五股倉,72477 頂發建設-基隆,8.0,78.44,200,基隆市仁愛區,1,RT20250000012819,1.0,,25.126611,121.741055,1070,1,6
基隆市仁愛區精一路6號,5D-五股倉,70817 都發建設-同#62143工地,8.0,78.64,200,基隆市仁愛區,1,RT202500001904,1.0,,25.125584,121.740789,1070,1,6
基隆市信義區正信路205號,5D-五股倉,77212 王鼎營造-正信路,8.0,91.3,201,基隆市信義區,1,RT202500008873,1.0,,25.133994,121.759314,1060,1,6
基隆市信義區深溪路與新豐街口(第八攤)-吳老鋪,5D-五股倉,54227 吳老舖手作燒物酒場,8.0,87.97,201,基隆市信義區,1,RT202500003942,1.0,,25.13508,121.783231,1060,1,6
基隆市信義區深澳坑路86巷2號對面,5D-五股倉,76989 開豐資產-培德段,8.0,86.82,201,基隆市信義區,1,RT202500007685,1.0,,25.126181,121.781798,1060,1,6
基隆市安樂區(新山水庫)-自行定位附圖,5D-五股倉,64114 金鑽源-新山水庫,8.0,67.62,204,基隆市安樂區,1,RT202500007392,1.0,,25.136783,121.710258,1030,1,6
基隆市安樂區基金一路&武崙街口,5D-五股倉,66589 勤家-基隆,16.0,66.5,204,基隆市安樂區,1,RT20250000010795,1.0,,25.141122,121.707036,1030,2,6
基隆市安樂區基金一路&武崙街口-2號,5D-五股倉,59829 勤家-基隆,16.0,66.46,204,基隆市安樂區,1,RT20250000010794,1.0,,25.141461,121.707081,1030,2,6
基隆市安樂區安一路360號-安樂高中,5D-五股倉,73921 勝岳營造-安樂高中,16.0,74.61,204,基隆市安樂區,1,RT202400009224,1.0,,25.134736,121.730023,1030,2,6
基隆市安樂區安和二街28號旁工地,5D-五股倉,61630 安固營造工程,8.0,70.36,204,基隆市安樂區,1,RT20250000011958,1.0,,25.130356,121.721864,1030,1,6
基隆市安樂區樂利三街150號,5D-五股倉,76399 良有營造-樂利三街,8.0,71.41,204,基隆市安樂區,1,RT20250000011871,1.0,,25.126175,121.716622,1030,1,6
基隆市安樂區樂利三街38巷13-4號-國家新城福德宮,5D-五股倉,76937 國家新城福德宮,8.0,71.77,204,基隆市安樂區,1,RT202500008066,1.0,,25.126475,121.714106,1030,1,6
基隆市安樂區武聖街186號,5D-五股倉,70963 倢宇建設有限公司,8.0,63.66,204,基隆市安樂區,1,RT20250000014037,1.0,,25.160722,121.698191,1030,1,6
新北市三峽區三樹路98巷156弄76號,5A-平鎮倉,75725 亞億營造-三峽倉庫,8.0,37.57,237,新北市三峽區,1,RT202500001922,1.0,,24.941669,121.38753,1160,1,3
新北市三峽區介壽路二段138巷169號,5A-平鎮倉,77453 政鼎營造-介壽路二段,16.0,34.81,237,新北市三峽區,1,RT202500009984,1.0,,24.930411,121.395836,1160,2,3
新北市三峽區佳福路18號旁工地,5A-平鎮倉,73537 鈞安營造-還運,8.0,35.6,237,新北市三峽區,1,RT202500009014,1.0,,24.936644,121.394433,1160,1,3
新北市三峽區嘉添路109-2號1樓-7-ELEVEN嘉添門市附近,5A-平鎮倉,76812 文傑建設-嘉添門市,8.0,78.02,237,新北市三峽區,1,RT202500007007,1.0,,24.911244,121.369842,1160,1,3
新北市三峽區國際一街15號旁,5A-平鎮倉,76611 大將營造-文澄苑,8.0,43.15,237,新北市三峽區,1,RT202500005955,1.0,,24.943008,121.37422,1160,1,3
新北市三峽區國際一街66號旁工地,5A-平鎮倉,76687 家豪建設-大學段,8.0,43.32,237,新北市三峽區,1,RT202500006370,1.0,,24.942144,121.37275,1160,1,3
新北市三峽區大同路295號-追加,5A-平鎮倉,67388 中鼎營造-三峽,8.0,72.22,237,新北市三峽區,1,RT20250000013968,1.0,,24.924417,121.364133,1160,1,3
新北市三峽區大埔路106號,5A-平鎮倉,78385 隆準營造股份有限公司,8.0,75.08,237,新北市三峽區,1,RT20250000014033,1.0,,24.906636,121.366531,1160,1,3
新北市三峽區大觀路90號旁工地,5A-平鎮倉,77414 大將營造-三峽區,8.0,42.6,237,新北市三峽區,1,RT202500009813,1.0,,24.946591,121.373845,1160,1,3
新北市三峽區安坑路27號,5A-平鎮倉,76624 安信營造-三峽陳振良,8.0,27.56,237,新北市三峽區,1,RT202500006082,1.0,,24.928834,121.447669,1160,1,5
新北市三峽區文化路129號,5A-平鎮倉,75147 靖敲敲室內裝修-三峽,8.0,70.45,237,新北市三峽區,1,RT20250000013570,1.0,,24.936094,121.369914,1160,1,3
新北市三峽區白雞路62號-三峽農場,5A-平鎮倉,77816 長友營造-三峽農場,8.0,79.92,237,新北市三峽區,1,RT20250000011518,1.0,,24.911903,121.386522,1160,1,3
新北市三峽區隆恩街178巷(從三鶯路128號對面進),5A-平鎮倉,74963 政鼎營造-萬鋒,8.0,46.0,237,新北市三峽區,1,RT20250000013287,1.0,,24.944608,121.361822,1160,1,3
新北市三芝區大湖路&淡金公路上,5D-五股倉,67195 英城-淡水,24.0,24.2,252,新北市三芝區,1,RT20250000011385,1.0,,25.253358,121.473759,1270,3,1
新北市三芝區番子崙6-5號,5D-五股倉,68541 晉榮-歐立諾,8.0,27.0,252,新北市三芝區,1,RT20250000013345,1.0,,25.241944,121.488566,1270,1,1
新北市三重區三和路４段44巷29號旁工地,5D-五股倉,68324 統和營造-三重,16.0,12.3,241,新北市三重區,1,RT202500007710,1.0,,25.0741,121.489352,1200,2,1
新北市三重區三張街91號-厚德國小後門,5D-五股倉,78371 立川機械-同立程同鴻偉營造,8.0,12.8,241,新北市三重區,1,RT20250000013993,1.0,,25.070781,121.489455,1200,1,1
新北市三重區三民街215號,5D-五股倉,76942 東騏營造-永德段,8.0,21.9,241,新北市三重區,1,RT202500007480,1.0,,25.066998,121.480228,1200,1,1
新北市三重區仁慈街&福德南路交叉口,5D-五股倉,77454 力萬建設-#銜接75496 統和營造,8.0,26.9,241,新北市三重區,1,RT202500009986,1.0,,25.063328,121.502692,1200,1,1
新北市三重區信義西街-信義公園內鎮安宮前廣場,5D-五股倉,72580 傳亞營造-三重,32.0,17.695,241,新北市三重區,1,RT202400003577,,1.0,25.064722,121.498661,1200,4,1
新北市三重區光復路二段5號,5D-五股倉,69923 長友營造-國豐三重,80.0,26.385,241,新北市三重區,1,RT20250000013553,,1.0,25.053886,121.472131,1200,10,5
新北市三重區光華路15號對面,5D-五股倉,72300 紘亞鋼鋁-三重光華路,8.0,19.51,241,新北市三重區,1,RT202500001426,1.0,,25.059817,121.470086,1200,1,5
新北市三重區大有街16-1號,5D-五股倉,70333 紹華營造-大有街,16.0,21.1,241,新北市三重區,1,RT20250000011951,1.0,,25.067003,121.474542,1200,2,1
新北市三重區大有街17-1號,5D-五股倉,71892 鴻信營造,16.0,21.0,241,新北市三重區,1,RT202400008588,1.0,,25.067323,121.473656,1200,2,1
新北市三重區成功一街&成功二街交叉口,5D-五股倉,75402 紹華營造-誠譯,8.0,29.7,241,新北市三重區,1,RT2025000516,1.0,,25.050356,121.486883,1200,1,5
新北市三重區朝陽街80號,5D-五股倉,78305 英鼎工程-三重朝陽街,8.0,23.5,241,新北市三重區,1,RT20250000013625,1.0,,25.057622,121.483161,1200,1,5
新北市三重區環河南路&成功二街交叉口,5D-五股倉,74247 承優營造-三重段427地號,16.0,29.35,241,新北市三重區,1,RT20240000012462,1.0,,25.048561,121.488075,1200,2,5
新北市三重區疏洪西路&頂文二街交叉口,5D-五股倉,73991 宗輝營造-新濠漾III,48.0,21.18333333,241,新北市三重區,1,RT202500003373,1.0,,25.055103,121.476353,1200,6,5
新北市三重區福隆路24號,5D-五股倉,74069 玖長建設-三重,8.0,11.5,241,新北市三重區,1,RT202500009016,1.0,,25.078114,121.491839,1200,1,1
新北市三重區興德路69號,5D-五股倉,77636 聯順建設-興德路,32.0,32.1,241,新北市三重區,1,RT20250000010858,1.0,,25.05356,121.4741,1200,4,5
新北市三重區車路頭街117巷63號,5D-五股倉,74990 林子翔,8.0,13.7,241,新北市三重區,1,RT20250000013298,1.0,,25.075759,121.485658,1200,1,1
新北市三重區重陽路一段43巷4號旁,5D-五股倉,73443 永騰營造-重陽路,8.0,24.1,241,新北市三重區,1,RT202500007210,1.0,,25.058097,121.487439,1200,1,5
新北市三重區集美街58巷底,5D-五股倉,77938 耀鋐-三重高中,8.0,24.7,241,新北市三重區,1,RT20250000012071,1.0,,25.055931,121.490841,1200,1,5
新北市三重區集賢路168號旁,5D-五股倉,73249 興澤營造-三重,16.0,9.65,241,新北市三重區,1,RT202500006843,1.0,,25.088858,121.485291,1200,2,1
新北市三重區頂崁街210巷66弄16號旁,5D-五股倉,71336 承優營造-三重82地號,16.0,21.15,241,新北市三重區,1,RT20250000013174,1.0,,25.067111,121.474542,1200,2,1
新北市三重區龍門路-停車場,5D-五股倉,44590 日月亭股份有限公司,32.0,58.245,241,新北市三重區,1,RT202400009396,,1.0,25.077767,121.502167,1200,4,1
新北市中和區(板橋區)區環河西路３段200號(堤防旁停車場-電聯,5D-五股倉,58327 亞林交通,8.0,20.9,220,新北市板橋區,1,RT202500006524,1.0,,25.01682,121.485511,1190,1,5
新北市中和區南山路320巷工地,5A-平鎮倉,70653 欣洋營造-中和,8.0,40.85,235,新北市中和區,1,RT202500009931,1.0,,24.98653,121.507586,1140,1,5
新北市中和區和城路一段612號(阿昆停車場旁),5A-平鎮倉,78328 連霆-中和區連城路,8.0,50.27,235,新北市中和區,1,RT20250000013766,1.0,,24.991597,121.477425,1140,1,5
新北市中和區圓通路369巷30弄16號,5A-平鎮倉,73607 連霆環保-中和,8.0,53.38,235,新北市中和區,1,RT202500007418,1.0,,24.985027,121.489108,1140,1,5
新北市中和區安樂路-四號公園(八二三紀念公園),5A-平鎮倉,76928 紅林建設-四號公園,8.0,37.71,235,新北市中和區,1,RT202500007443,1.0,,25.002761,121.514803,1140,1,5
新北市中和區景平路121號,5A-平鎮倉,70818 宏民營造-景平站,16.0,35.45,235,新北市中和區,1,RT20250000010142,1.0,,24.991611,121.516081,1140,2,5
新北市中和區立德街26巷5弄口工地-1F,5A-平鎮倉,67528 恒昇-中和,8.0,44.23,235,新北市中和區,1,RT20250000012266,1.0,,25.007403,121.489816,1140,1,5
新北市中和區立德街26巷5弄口工地-1F 追加,5A-平鎮倉,67528 恒昇-中和,8.0,44.18,235,新北市中和區,1,RT20250000012305,1.0,,25.007011,121.489905,1140,1,5
新北市中和區立德街310號旁,5A-平鎮倉,76513 菁宣營造-立德街,8.0,45.15,235,新北市中和區,1,RT202500005548,1.0,,25.010506,121.482411,1140,1,5
新北市中和區自強路8巷3號,5A-平鎮倉,77452 泓鼎開發-泓鼎秀山,8.0,36.34,235,新北市中和區,1,RT202500009983,1.0,,24.995977,121.519925,1140,1,5
新北市中和區莒光路84巷與國光街112巷交叉口,5A-平鎮倉,66809 直佑-中和,16.0,47.64,235,新北市中和區,1,RT202500009902,1.0,,25.002206,121.471486,1140,2,5
新北市五股區中興路３段7-1號 (車廠),5D-五股倉,68326 葆運企業-五股,8.0,63.9,248,新北市五股區,1,RT20250091,1.0,,25.079456,121.44603,1240,1,8
新北市五股區五工二路122號,5D-五股倉,77275 朋揚營造-五工二路,8.0,74.1,248,新北市五股區,1,RT202500009145,1.0,,25.070095,121.455231,1240,1,8
新北市五股區五工路136-1號,5D-五股倉,57236 台灣檢驗科技,8.0,73.6,248,新北市五股區,1,RT202500006064,1.0,,25.069595,121.450756,1240,1,8
新北市五股區天乙路14號,5D-五股倉,74884 新北市集福宮福德爺,8.0,59.3,248,新北市五股區,1,RT20250000012606,1.0,,25.103294,121.449266,1240,1,1
新北市五股區成泰路(五股夏綠地),5D-五股倉,74619 逸圻企業-五股夏綠地,16.0,62.8,248,新北市五股區,1,RT202502,1.0,,25.078556,121.4415,1240,2,8
新北市五股區成泰路一段98巷10號,5D-五股倉,77571 李振亞,8.0,67.5,248,新北市五股區,1,RT20250000010540,1.0,,25.071061,121.440333,1240,1,8
新北市五股區成泰路三段601巷24號,5D-五股倉,74038 德山-成泰路,8.0,58.9,248,新北市五股區,1,RT20250000012605,1.0,,25.103283,121.452075,1240,1,1
新北市五股區成泰路二段224號,5D-五股倉,73863 上裕開發-美食家,16.0,61.8,248,新北市五股區,1,RT20250000011859,1.0,,25.086244,121.439602,1240,2,8
新北市五股區成泰路１段98巷(北極宮旁廠房)-電聯帶定位,5D-五股倉,60789 杰昌工程有限公司,8.0,66.5,248,新北市五股區,1,RT202500001081,1.0,,25.072553,121.449591,1240,1,8
新北市五股區水碓一路60號旁工地,5D-五股倉,78364 崇古文資-水碓路,8.0,69.4,248,新北市五股區,1,RT20250000013962,1.0,,25.073573,121.431745,1240,1,8
新北市五股區疏洪北路9-1號,5D-五股倉,69318 安倉營造-五股,64.0,64.8,248,新北市五股區,1,RT202500009241,1.0,,25.083952,121.448389,1240,8,8
新北市五股區登林路67號,5D-五股倉,73536 三豐營造-新花開,8.0,70.1,248,新北市五股區,1,RT202500006947,1.0,,25.069578,121.428503,1240,1,8
新北市五股區自強路162號,5D-五股倉,72519 合康工程-五股,8.0,70.6,248,新北市五股區,1,RT20250000012821,1.0,,25.070039,121.43197,1240,1,8
新北市八里區中山路三段409號-八里垃圾焚化廠,5A-平鎮倉,76891 金弘營造-八里焚化廠,8.0,91.23,249,新北市八里區,1,RT202500007316,1.0,,25.136064,121.368278,1395,1,8
新北市八里區中山路３段409號(八里焚化爐對面)-南堤,5A-平鎮倉,65300 旭源營造-八里-南堤,32.0,89.6225,249,新北市八里區,1,RT20250000013231,1.0,,25.146011,121.374864,1395,4,8
新北市八里區中華路２段488號(橘色貨櫃屋),5A-平鎮倉,61184 慶明工程行,8.0,83.34,249,新北市八里區,1,RT202500003067,1.0,,25.145761,121.400122,1395,1,8
新北市八里區仁愛路70號隔壁工地,5A-平鎮倉,71842 統和營造股份有限公司,8.0,78.91,249,新北市八里區,1,RT20250000011056,1.0,,25.160178,121.411819,1395,1,8
新北市八里區博物館路200號附近-十三行博物館附近,5A-平鎮倉,77118 中鼎營造-八里區,8.0,78.39,249,新北市八里區,1,RT202500008515,1.0,,25.161694,121.412397,1395,1,8
新北市八里區台北港區內,5A-平鎮倉,65513 工信工程-台北港,16.0,89.4,249,新北市八里區,1,RT20250000013574,1.0,,25.150108,121.375031,1395,2,8
新北市八里區台北港電聯定位(64下來第1個門3號門等),5A-平鎮倉,71620 東佶營造-台北港,8.0,60.24,249,新北市八里區,1,RT202400009486,1.0,,25.163283,121.375411,1395,1,8
新北市八里區商港路(台北港泛亞),5A-平鎮倉,62671 雙統工程-泛亞工地,48.0,70.76,249,新北市八里區,1,RT202500008511,,1.0,25.157789,121.391411,1395,6,8
新北市八里區商港路-台北港(型塊-石料堆置區),5A-平鎮倉,58339 東丕營造-沉箱,16.0,59.27,249,新北市八里區,1,RT202500009803,1.0,,25.157825,121.372125,1395,2,8
新北市八里區商港路-台北港(沉箱-北內堤沈箱區),5A-平鎮倉,57649 東丕營造-型塊,8.0,59.36,249,新北市八里區,1,RT20250000012503,1.0,,25.158558,121.371686,1395,1,8
新北市八里區商港路-台北港電聯定位,5A-平鎮倉,53994 泛亞工程-八里區,112.0,62.80571429,249,新北市八里區,1,RT20250000013751,,1.0,25.158475,121.375475,1395,14,8
新北市八里區商港路120號-帶定位,5A-平鎮倉,69483 旭源營造-新智慧,16.0,64.415,249,新北市八里區,1,RT20250000011976,1.0,,25.166322,121.382131,1395,2,8
新北市八里區商港路120號-帶定位-要換證-北堤,5A-平鎮倉,69483 旭源營造-新智慧,16.0,61.0,249,新北市八里區,1,RT20250000010940,1.0,,25.166253,121.381386,1395,2,8
新北市八里區埤頭里挖子尾街-附地標,5A-平鎮倉,77517 竺園景觀-八里區,16.0,77.41,249,新北市八里區,1,RT20250000010228,1.0,,25.168195,121.414492,1395,2,8
新北市八里區廈竹圍25號-臺北港,5A-平鎮倉,72603 長友-台北港N7,96.0,62.245,249,新北市八里區,1,RT20250000013566,,1.0,25.160581,121.380567,1395,12,8
新北市八里區文昌七街與文昌路交叉口,5A-平鎮倉,75977 ?益實業-五股,8.0,80.32,249,新北市八里區,1,RT202500002971,1.0,,25.154653,121.413269,1395,1,8
新北市八里區楓林路8鄰3之16號(倉庫)-電聯林先生帶定位,5A-平鎮倉,64519 慧展-八里,8.0,95.35,249,新北市八里區,1,RT202400001720,1.0,,25.1297,121.382589,1395,1,8
新北市八里區民治街5號-附圖自行定位,5A-平鎮倉,68433 中華民國勞工安全衛生教育協會,8.0,80.96,249,新北市八里區,1,RT2025000563,1.0,,25.157975,121.415497,1395,1,8
新北市八里區狀元路52號對面工地-銜接#74479中菲營造,5A-平鎮倉,76833 永有建設-銜接#74479中菲營造,8.0,79.91,249,新北市八里區,1,RT202500007054,1.0,,25.154025,121.410908,1395,1,8
新北市八里區義民街41號,5A-平鎮倉,70335 順埕企業有限公司,16.0,84.12,249,新北市八里區,1,RT202500009447,1.0,,25.142558,121.394075,1395,2,8
新北市八里區龍米路一段197號,5A-平鎮倉,70157 台鼎營造-龍米路,8.0,106.38,249,新北市八里區,1,RT20250000012859,1.0,,25.131211,121.4514,1395,1,1
新北市土城區中央路一段189巷內-停車場,5A-平鎮倉,52749 文強-土城區,16.0,51.16,236,新北市土城區,1,RT20250000011841,,1.0,24.986769,121.446458,1150,2,5
新北市土城區中山路91號,5A-平鎮倉,78295 吉宗營造-土城區,16.0,42.55,236,新北市土城區,1,RT20250000013595,1.0,,24.969948,121.432017,1150,2,5
新北市土城區中州路30巷1號,5A-平鎮倉,70911 仁基建設,16.0,45.705,236,新北市土城區,1,RT20250000011007,1.0,,24.958372,121.413058,1150,2,5
新北市土城區中州路30巷1號-7F,5A-平鎮倉,70911 仁基建設,27.0,45.69,236,新北市土城區,7,RT20250000010513,1.0,,24.958372,121.413058,1150,1,5
新北市土城區南天母路67號對面工地,5A-平鎮倉,76857 鴻燊營造-南天母路,8.0,51.24,236,新北市土城區,1,RT202500007145,1.0,,24.957111,121.446219,1150,1,5
新北市土城區延吉街296巷36號,5A-平鎮倉,75763 鵬宇營造-土城,8.0,59.6,236,新北市土城區,1,RT202500002133,1.0,,24.98548,121.463928,1150,1,5
新北市土城區忠義路88號對面,5A-平鎮倉,75149 壯源工程-土城,8.0,52.5,236,新北市土城區,1,RT20250000013577,1.0,,24.962192,121.444072,1150,1,5
新北市土城區承天路16號,5A-平鎮倉,70652 旭?建設有限公司,76.0,49.292,236,新北市土城區,11,RT202500008606,1.0,,24.963572,121.437597,1150,5,5
新北市土城區承天路16號(旭?),5A-平鎮倉,70652 旭?建設有限公司,16.0,73.9,236,新北市土城區,1,RT202500009926,1.0,,24.963544,121.438358,1150,2,5
新北市土城區承天路16號-13F,5A-平鎮倉,70652 旭?建設有限公司,22.0,48.87,236,新北市土城區,13,RT20250000013393,1.0,,24.963572,121.437597,1150,1,5
新北市土城區承天路16號-9F,5A-平鎮倉,70652 旭?建設有限公司,19.5,49.22,236,新北市土城區,9,RT20250000013689,1.0,,24.964739,121.438469,1150,1,5
新北市土城區承天路62巷8號,5A-平鎮倉,70064 晉達營造-土城,8.0,49.75,236,新北市土城區,1,RT202500006734,1.0,,24.961819,121.440819,1150,1,5
新北市土城區承天路66號對面,5A-平鎮倉,76250 順業營造-土城,8.0,49.92,236,新北市土城區,1,RT202500004178,1.0,,24.962483,121.441539,1150,1,5
新北市土城區永和街85號附近40公尺圍籬,5A-平鎮倉,75728 基億營造-土城,8.0,54.55,236,新北市土城區,1,RT202500001953,1.0,,24.955414,121.435966,1150,1,5
新北市土城區福安街70巷底,5A-平鎮倉,71629 展榮工程行,8.0,44.42,236,新北市土城區,1,RT202500007134,1.0,,24.965139,121.417959,1150,1,5
新北市土城區莊園街123之10地號-停車場旁-三期,5A-平鎮倉,66738 瑞助-土城(三期),16.0,39.91,236,新北市土城區,1,RT202500009524,1.0,,24.981811,121.446325,1150,2,5
新北市土城區莊園街123之10地號-停車場旁-三期(警衛室後休息站旁),5A-平鎮倉,66738 瑞助-土城(三期),16.0,39.91,236,新北市土城區,1,RT202500009523,1.0,,24.981811,121.446325,1150,2,5
新北市土城區金城路2段&龍山二街口,5A-平鎮倉,68208 百晟營造-富玉,48.0,59.53,236,新北市土城區,1,RT20220000016123,1.0,,24.979159,121.451125,1150,6,5
新北市土城區金城路2段&龍山二街口-A棟,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.47,236,新北市土城區,7,RT202500001495,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-A棟-10F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.47,236,新北市土城區,10,RT202500006807,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-A棟-3F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.47,236,新北市土城區,3,RT202500004673,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-A棟13F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.57,236,新北市土城區,13,RT20250000012212,1.0,,24.978939,121.450911,1150,1,5
新北市土城區金城路2段&龍山二街口-B棟,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.47,236,新北市土城區,7,RT202500001496,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-B棟-10F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.57,236,新北市土城區,10,RT202500006809,1.0,,24.978939,121.450911,1150,1,5
新北市土城區金城路2段&龍山二街口-B棟-3F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.47,236,新北市土城區,3,RT202500004674,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-B棟13F,5A-平鎮倉,68208 百晟營造-富玉,18.0,59.57,236,新北市土城區,13,RT20250000012213,1.0,,24.978939,121.450911,1150,1,5
新北市土城區金城路2段&龍山二街口-C、D棟7F,5A-平鎮倉,68208 百晟營造-富玉,32.0,59.57,236,新北市土城區,7,RT202500006818,1.0,,24.978939,121.450911,1150,2,5
新北市土城區金城路2段&龍山二街口-C棟,5A-平鎮倉,68208 百晟營造-富玉,16.0,59.47,236,新北市土城區,3,RT202500004675,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-C棟-12F,5A-平鎮倉,68208 百晟營造-富玉,16.0,59.57,236,新北市土城區,12,RT20250000010627,1.0,,24.978939,121.450911,1150,1,5
新北市土城區金城路2段&龍山二街口-D棟,5A-平鎮倉,68208 百晟營造-富玉,16.0,59.47,236,新北市土城區,3,RT202500004677,1.0,,24.979153,121.451458,1150,1,5
新北市土城區金城路2段&龍山二街口-D棟-12F,5A-平鎮倉,68208 百晟營造-富玉,16.0,59.57,236,新北市土城區,12,RT20250000010629,1.0,,24.978939,121.450911,1150,1,5
新北市土城區青福街76號,5A-平鎮倉,71689 鴻信-一品學苑,16.0,60.79,236,新北市土城區,1,RT20230000015308,1.0,,24.978673,121.457308,1150,2,5
新北市土城區青雲路384號-(青和街1巷旁),5A-平鎮倉,68491 寶佳建設-土城,16.0,60.89,236,新北市土城區,1,RT2025000540,1.0,,24.974264,121.458319,1150,2,5
新北市土城區青雲路649號,5A-平鎮倉,70244 徐坤山-青雲路,8.0,62.38,236,新北市土城區,1,RT202500007967,1.0,,24.967123,121.462219,1150,1,5
新北市新店區三民路159巷19弄1號,5A-平鎮倉,76153 華太開發-新店,8.0,79.9,231,新北市新店區,1,RT202500003830,1.0,,24.97392,121.532634,1120,1,5
新北市新店區三民路94巷14號旁,5A-平鎮倉,77357 吉宗營造-銜接#73237,8.0,79.6,231,新北市新店區,1,RT202500009494,1.0,,24.9734,121.534783,1120,1,5
新北市新店區中央一街41號,5A-平鎮倉,73542 勝麗科技-新店,8.0,82.1,231,新北市新店區,1,RT202400007750,1.0,,24.973925,121.527539,1120,1,5
新北市新店區中央七街70號,5A-平鎮倉,77442 協之達-中央七街,8.0,83.3,231,新北市新店區,1,RT202500009898,1.0,,24.976606,121.527423,1120,1,5
新北市新店區中央七街91號,5A-平鎮倉,76485 元洲營造-中央七街,8.0,83.1,231,新北市新店區,1,RT202500005395,1.0,,24.977203,121.526428,1120,1,5
新北市新店區中央三街85號,5A-平鎮倉,69311 壢都營造-中央三街,48.0,82.5,231,新北市新店區,1,RT202500004227,1.0,,24.975836,121.525895,1120,3,5
新北市新店區中央五街111號,5A-平鎮倉,72072 鼎盛鑫-新店,8.0,83.7,231,新北市新店區,1,RT20250000011959,1.0,,24.976759,121.525495,1120,1,5
新北市新店區中央八街120號,5A-平鎮倉,76484 元洲營造-中央八街,8.0,82.9,231,新北市新店區,1,RT202500005394,1.0,,24.97835,121.52535,1120,1,5
新北市新店區中央六街93號,5A-平鎮倉,67881 英頓營造-美時製藥,8.0,82.6,231,新北市新店區,1,RT20250000010668,1.0,,24.976909,121.526164,1120,1,5
新北市新店區中央路16號,5A-平鎮倉,77438 國隆營造工程股份有限公司,8.0,81.1,231,新北市新店區,1,RT20250000012061,1.0,,24.979,121.533572,1120,1,5
